player_id,player_name,player_position,player_age,player_avg_yellow_cards,player_avg_red_cards,player_avg_fouls
739,"Taylor Richards",Midfielder,21,0,0,1
740,"Lewis Richardson",Forward,19,0,0,0
741,Richarlison,Forward,25,6.5,0.5,36
742,"Jairo Riedewald",Defender,26,1.33333,0,8.33333
743,"Matt Ritchie",Midfielder,33,5,0,26.5
744,"Robbie Brady",Midfielder,30,2.33333,0.333333,13.6667
745,"Roberto Firmino",Forward,31,1.25,0,24
747,"Andrew Robertson",Defender,28,3.25,0.25,19.5
748,"Joe Rodon",Defender,24,0,0,1
749,Rodri,Midfielder,26,6.33333,0,43.3333
750,Rodrigo,Forward,31,6,0,20
751,"Jay Rodríguez",Forward,33,2.33333,0,29.3333
752,"Mads Roerslev",Defender,23,1,0,18
755,"Oriol Romeu",Midfielder,31,7.75,0,40.25
757,"Salomón Rondón",Forward,33,2,0.5,17
758,"Danny Rose",Defender,32,5.33333,0,20.3333
760,"Rúben Dias",Defender,25,4.5,0,24
761,"Rúben Neves",Midfielder,25,8.5,0,34.25
762,"Rúben Vinagre",Defender,23,0.666667,0,7
763,"John Ruddy",Goalkeeper,35,0,0,0
764,"Antonio Rüdiger",Defender,29,4.75,0,24.5
765,"Rui Patrício",Goalkeeper,34,0.333333,0,0
766,"Rúnar Rúnarsson",Goalkeeper,27,0,0,0
767,"Lukas Rupp",Midfielder,31,0.5,0,8.5
768,"Mathew Ryan",Goalkeeper,30,1,0,0.666667
769,"Allan Saint-Maximin",Forward,25,2,0,16.6667
770,"Romain Saïss",Defender,32,6.25,0.25,32.25
772,"Bukayo Saka",Midfielder,21,3.25,0,22.25
773,"Mamadou Sakho",Defender,32,1,0.333333,3.33333
775,"Mohammed Salisu",Defender,23,4.5,0.5,24
