player_id,player_name,player_position,sum_yellow_cards,sum_red_cards,player_fouls,seasons_played
1448,"Jason David Ian Puncheon",Midfielder,1,0,12,1
1450,"Rafael Camacho",Midfielder,0,0,0,1
1453,"Aaron Ramsey",Midfielder,0,0,21,1
1456,"Diego Rico",Defender,7,0,28,2
1457,"Callum Robinson",Forward,1,0,14,2
1461,"Bakary Sako",Midfielder,0,0,1,1
1462,"Ismaïla Sarr",Forward,3,0,39,2
1464,"Morgan Schneiderlin",Midfielder,6,1,39,2
1467,"Jack Simpson",Defender,0,0,4,2
1468,"Josh Sims",Midfielder,0,0,1,1
1470,"Callum Slattery",Midfielder,0,0,4,1
1471,"Dominic Solanke",Forward,1,0,17,2
1472,"Pape Souaré",Defender,0,0,0,1
1474,"Julian Speroni",Goalkeeper,0,0,0,1
1475,"Dennis Srbeny",Forward,0,0,1,1
1476,"Jack Stacey",Defender,2,0,10,1
1477,"Junior Stanislas",Midfielder,2,0,11,2
1481,"Enda Stevens",Defender,13,0,72,2
1482,"Daniel Sturridge",Forward,1,0,5,1
1483,"Denis Suárez",Midfielder,0,0,0,1
1484,"Andrew Surman",Midfielder,3,0,8,2
1485,"Sam Surridge",Forward,0,0,2,2
1487,"Alexander Sørloth",Forward,0,0,4,1
1489,"Alexander Tettey",Midfielder,5,0,21,1
1492,"Adama Traoré",Forward,6,0,111,4
1493,"Mark Travers",Goalkeeper,0,0,0,2
1497,"Antonio Valencia",Defender,2,0,7,1
1498,"Jesús Vallejo",Defender,1,0,2,1
1499,"Sam Vokes",Forward,0,0,14,1
1500,"Kyle Walker",Defender,10,0,74,4
1502,"Victor Wanyama",Midfielder,3,0,11,2
1503,"Stephen Ward",Defender,1,0,2,1
1506,"Kelland Watts",Defender,0,0,0,1
1510,"Jetro Willems",Defender,0,0,10,1
1512,"Callum Wilson",Forward,19,0,163,4
1514,"Ashley Young",Defender,15,1,67,3
1515,"Pablo Zabaleta",Defender,6,0,24,2
1522,"Floyd Ayité",Midfielder,0,0,6,1
1523,"Ryan Babel",Forward,3,0,14,1
1524,"Leandro Bacuna",Midfielder,2,0,13,1
1526,"Leon Balogun",Defender,2,0,5,1
1527,"Sol Bamba",Defender,7,0,35,1
1529,"Joe Bennett",Defender,5,0,20,1
1546,"Chris Löwe",Defender,2,0,14,1
1547,"Ibrahima Cissé",Midfielder,0,0,1,1
1552,"Loïc Damour",Midfielder,0,0,1,1
1553,"Steven Davis",Midfielder,0,0,2,1
1556,"Laurent Depoitre",Forward,1,0,19,1
1558,"Adama Diakhaby",Forward,1,0,7,1
1563,"Demeaco Duhaney",Defender,0,0,0,1
1565,"Erik Durm",Defender,0,0,13,1
1567,"Bruno Ecuele Manga",Defender,0,0,15,1
1571,"Neil Etheridge",Goalkeeper,2,0,0,1
1578,"Sam Gallagher",Forward,0,0,4,1
1583,"Anthony Gordon",Forward,4,0,35,3
1584,"Jon Gorenc Stankovic",Defender,2,0,9,1
1588,"Karlan Grant",Forward,1,0,17,2
1590,"Greg Cunningham",Defender,3,0,8,1
1591,"Aron Gunnarsson",Midfielder,5,0,26,1
1592,"Florent Hadergjonaj",Defender,1,0,11,1
1595,"Ben Hamer",Goalkeeper,0,0,0,1
1596,"Kadeem Harris",Midfielder,1,0,4,1
1597,"Isaac Hayden",Midfielder,20,2,109,4
1598,"Eden Hazard",Forward,2,0,12,1
1599,"Rhys Healey",Forward,0,0,1,1
1601,"Jordan Henderson",Midfielder,6,1,88,4
1605,"Jonathan Hogg",Midfielder,8,1,58,1
1606,"Junior Hoilett",Midfielder,4,0,35,1
1614,"Emerson Hyndman",Midfielder,0,0,0,1
1619,"Matty James",Midfielder,0,0,0,1
1625,"Juninho Bacuna",Midfielder,4,0,33,1
1626,"Elias Kachunga",Forward,2,0,24,1
1647,"Isaac Mbenza",Forward,1,0,8,1
1650,"Nathaniel Mendez-Laing",Midfielder,0,0,7,1
1655,"Sean Morrison",Defender,6,0,32,1
1656,"Steve Mounié",Forward,1,1,32,1
1658,"Josh Murphy",Midfielder,2,0,14,1
1664,"Håvard Nordtveit",Defender,0,0,5,1
1674,"Callum Paterson",Forward,4,0,41,1
